IP地址	端口	TLS	数据中心	地区	城市	网络延迟	测速 MB/s
47.242.176.237	2087	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	2613 kB/s
47.237.100.206	2096	TRUE	SIN	Asia Pacific	Singapore	239 ms	2582 kB/s
47.236.202.91	2053	TRUE	SIN	Asia Pacific	Singapore	245 ms	2476 kB/s
47.242.155.183	2053	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	2249 kB/s
8.210.9.129	8443	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	2220 kB/s
8.217.232.246	2096	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	2202 kB/s
8.210.174.156	8443	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	2187 kB/s
8.210.3.24	8443	TRUE	HKG	Asia Pacific	Hong Kong	72 ms	2168 kB/s
47.76.94.15	2053	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	2085 kB/s
47.76.94.15	2083	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	1681 kB/s
47.242.234.127	2096	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	1583 kB/s
47.76.33.40	8443	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	1574 kB/s
8.210.174.156	2087	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	1307 kB/s
47.243.86.79	2087	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	1263 kB/s
8.218.3.12	2083	TRUE	HKG	Asia Pacific	Hong Kong	55 ms	1235 kB/s
47.76.33.40	2053	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	1129 kB/s
47.76.33.40	2083	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	1071 kB/s
47.243.86.79	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	1058 kB/s
47.76.33.40	2087	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	904 kB/s
47.76.94.15	2096	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	843 kB/s
8.218.3.12	2053	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	835 kB/s
8.218.63.172	443	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	732 kB/s
47.76.33.40	2096	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	675 kB/s
8.222.225.193	443	TRUE	SIN	Asia Pacific	Singapore	224 ms	620 kB/s
47.237.94.140	2087	TRUE	SIN	Asia Pacific	Singapore	234 ms	608 kB/s
47.90.141.204	443	TRUE	LAX	North America	Los Angeles	260 ms	470 kB/s
47.57.13.107	443	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	462 kB/s
47.243.86.79	2096	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	432 kB/s
149.129.8.215	443	TRUE	SJC	North America	San Jose	96 ms	419 kB/s
47.76.94.15	2087	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	416 kB/s
8.217.90.154	443	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	331 kB/s
47.57.245.232	443	TRUE	SJC	North America	San Jose	67 ms	230 kB/s
8.218.3.12	2087	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	208 kB/s
8.218.3.12	2096	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	144 kB/s
47.237.11.182	2096	TRUE	SIN	Asia Pacific	Singapore	212 ms	73 kB/s
8.218.3.12	8443	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	54 kB/s
47.243.86.79	2083	TRUE	HKG	Asia Pacific	Hong Kong	55 ms	23 kB/s
8.210.92.27	443	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	20 kB/s
47.76.146.1	2087	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	6 kB/s
47.236.180.51	2053	TRUE	SIN	Asia Pacific	Singapore	211 ms	0 kB/s
8.210.34.188	8443	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	0 kB/s
8.210.245.224	2087	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	0 kB/s
47.242.176.237	2096	TRUE	HKG	Asia Pacific	Hong Kong	56 ms	0 kB/s
8.210.146.108	2083	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	0 kB/s
8.218.122.55	2096	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	0 kB/s
47.76.146.1	2053	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	0 kB/s
47.242.232.14	2087	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	0 kB/s
47.245.86.230	2083	TRUE	SIN	Asia Pacific	Singapore	231 ms	0 kB/s
47.76.159.146	2087	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	0 kB/s
47.245.102.52	2053	TRUE	SIN	Asia Pacific	Singapore	230 ms	0 kB/s
47.242.232.14	8443	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	0 kB/s
47.243.90.180	2053	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	0 kB/s
﻿IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
47.76.159.146	2095	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	28653 kB/s
8.210.175.109	2052	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	23564 kB/s
8.218.188.129	2086	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	22182 kB/s
47.74.155.26	80	FALSE	SIN	Asia Pacific	Singapore	98 ms	20223 kB/s
47.243.107.148	2052	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	20171 kB/s
47.76.159.146	8880	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	20107 kB/s
8.217.193.25	2086	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	18456 kB/s
8.210.174.156	2052	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	18129 kB/s
47.243.107.148	8880	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	17782 kB/s
47.76.204.76	80	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	17484 kB/s
47.242.54.157	2086	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	16911 kB/s
47.243.60.150	2082	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	16544 kB/s
8.218.207.169	2095	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	16476 kB/s
47.238.6.102	2052	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	16467 kB/s
8.218.53.110	2052	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	16310 kB/s
8.218.8.142	2052	FALSE	HKG	Asia Pacific	Hong Kong	55 ms	16066 kB/s
47.242.79.71	2052	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	16055 kB/s
47.242.155.183	8080	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	15757 kB/s
47.238.6.102	8880	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	15612 kB/s
8.218.188.129	2095	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	14575 kB/s
8.217.121.207	8080	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	14390 kB/s
8.217.193.25	2052	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	14236 kB/s
8.218.65.237	2082	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	14216 kB/s
47.242.54.157	2082	FALSE	HKG	Asia Pacific	Hong Kong	68 ms	14087 kB/s
47.242.155.183	80	FALSE	HKG	Asia Pacific	Hong Kong	55 ms	13978 kB/s
8.210.101.157	2095	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	13951 kB/s
8.218.188.129	2082	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	13934 kB/s
47.243.5.154	80	FALSE	HKG	Asia Pacific	Hong Kong	69 ms	13872 kB/s
47.243.5.154	8880	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	13865 kB/s
47.76.159.146	2052	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	13669 kB/s
8.218.211.17	8880	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	13316 kB/s
8.217.149.28	8880	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	12856 kB/s
8.218.136.25	2082	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	12767 kB/s
47.242.252.237	2052	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	12367 kB/s
8.210.34.188	2086	FALSE	HKG	Asia Pacific	Hong Kong	55 ms	12354 kB/s
8.217.149.28	8080	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	12155 kB/s
8.210.245.224	2086	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	12154 kB/s
8.218.211.17	2082	FALSE	HKG	Asia Pacific	Hong Kong	53 ms	11787 kB/s
47.242.155.183	2086	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	11772 kB/s
8.210.207.214	8080	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	11638 kB/s
8.218.174.118	2052	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	11360 kB/s
8.218.174.118	2095	FALSE	HKG	Asia Pacific	Hong Kong	71 ms	11229 kB/s
47.243.5.154	2052	FALSE	HKG	Asia Pacific	Hong Kong	69 ms	10988 kB/s
47.242.252.237	2082	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	10983 kB/s
8.218.146.204	2086	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	10751 kB/s
8.210.156.6	2052	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	10701 kB/s
47.242.171.94	2052	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	10295 kB/s
47.236.169.15	8880	FALSE	SIN	Asia Pacific	Singapore	210 ms	10268 kB/s
8.218.211.17	2086	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	10185 kB/s
47.238.6.102	2082	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	10170 kB/s
8.217.149.28	2082	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	10046 kB/s
47.242.54.157	2052	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	9956 kB/s
47.242.232.14	8880	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	9926 kB/s
47.242.234.127	2052	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	9813 kB/s
47.242.155.183	2052	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	9813 kB/s
47.76.204.76	2052	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	9735 kB/s
47.238.6.102	8080	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	9707 kB/s
8.217.85.14	8080	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	9673 kB/s
8.218.207.169	2052	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	9652 kB/s
8.218.22.210	2052	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	9622 kB/s
47.238.6.102	2086	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	9603 kB/s
8.218.65.237	2052	FALSE	HKG	Asia Pacific	Hong Kong	70 ms	9509 kB/s
47.245.105.224	2082	FALSE	SIN	Asia Pacific	Singapore	226 ms	9281 kB/s
47.242.155.183	8880	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	9235 kB/s
8.210.9.129	8880	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	9131 kB/s
47.238.40.58	2095	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	9124 kB/s
47.242.202.230	8880	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	9062 kB/s
8.217.121.207	2052	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	8995 kB/s
47.238.6.102	80	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	8931 kB/s
8.210.156.6	2082	FALSE	HKG	Asia Pacific	Hong Kong	70 ms	8871 kB/s
8.210.174.156	8880	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	8769 kB/s
47.76.77.103	2052	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	8557 kB/s
8.218.53.110	2086	FALSE	HKG	Asia Pacific	Hong Kong	53 ms	8556 kB/s
8.218.22.210	80	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	8517 kB/s
8.210.146.108	2052	FALSE	HKG	Asia Pacific	Hong Kong	54 ms	8347 kB/s
47.242.79.71	2082	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	8330 kB/s
8.210.146.108	2082	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	8309 kB/s
47.242.176.237	2052	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	8269 kB/s
8.217.193.25	2095	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	8230 kB/s
8.217.232.246	2095	FALSE	HKG	Asia Pacific	Hong Kong	70 ms	8175 kB/s
47.242.234.127	8880	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	8119 kB/s
8.217.232.246	2052	FALSE	HKG	Asia Pacific	Hong Kong	68 ms	8054 kB/s
8.218.122.55	2082	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	8021 kB/s
8.217.145.40	2052	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	7924 kB/s
47.238.40.58	2086	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	7924 kB/s
8.210.9.129	2052	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	7924 kB/s
8.218.22.210	2086	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	7857 kB/s
47.242.234.127	2082	FALSE	HKG	Asia Pacific	Hong Kong	55 ms	7841 kB/s
8.210.174.156	2082	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	7692 kB/s
47.236.169.15	2082	FALSE	SIN	Asia Pacific	Singapore	215 ms	7677 kB/s
47.238.40.58	80	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	7630 kB/s
47.237.81.112	2095	FALSE	SIN	Asia Pacific	Singapore	240 ms	7467 kB/s
8.210.156.6	2086	FALSE	HKG	Asia Pacific	Hong Kong	68 ms	7449 kB/s
8.218.207.169	2082	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	7413 kB/s
47.245.102.52	2095	FALSE	SIN	Asia Pacific	Singapore	229 ms	7375 kB/s
8.217.121.207	2082	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	7345 kB/s
8.210.101.157	8880	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	7338 kB/s
8.217.232.246	2086	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	7244 kB/s
47.236.87.246	8080	FALSE	SIN	Asia Pacific	Singapore	223 ms	7207 kB/s
47.76.204.76	2082	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	7206 kB/s
47.245.105.224	2052	FALSE	SIN	Asia Pacific	Singapore	232 ms	7206 kB/s
47.242.155.183	2095	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	7193 kB/s
8.210.101.157	8080	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	7126 kB/s
47.236.145.85	2082	FALSE	SIN	Asia Pacific	Singapore	225 ms	7066 kB/s
47.236.87.246	8880	FALSE	SIN	Asia Pacific	Singapore	243 ms	7044 kB/s
8.217.145.40	2082	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	7007 kB/s
8.210.48.107	2052	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	6951 kB/s
47.236.202.91	2095	FALSE	SIN	Asia Pacific	Singapore	229 ms	6943 kB/s
47.236.149.107	2086	FALSE	SIN	Asia Pacific	Singapore	216 ms	6921 kB/s
47.236.121.23	2086	FALSE	SIN	Asia Pacific	Singapore	219 ms	6920 kB/s
8.210.207.214	2052	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	6880 kB/s
47.243.203.119	80	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	6806 kB/s
47.236.9.152	2095	FALSE	SIN	Asia Pacific	Singapore	211 ms	6797 kB/s
47.242.202.230	2095	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	6781 kB/s
8.218.8.142	2082	FALSE	HKG	Asia Pacific	Hong Kong	55 ms	6743 kB/s
47.236.171.205	2052	FALSE	SIN	Asia Pacific	Singapore	219 ms	6698 kB/s
8.218.211.17	2095	FALSE	HKG	Asia Pacific	Hong Kong	54 ms	6678 kB/s
47.76.159.146	2082	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	6646 kB/s
47.236.80.110	2095	FALSE	SIN	Asia Pacific	Singapore	222 ms	6646 kB/s
8.210.175.109	2086	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	6630 kB/s
47.236.10.100	80	FALSE	SIN	Asia Pacific	Singapore	226 ms	6616 kB/s
47.236.5.223	2052	FALSE	SIN	Asia Pacific	Singapore	231 ms	6595 kB/s
47.237.92.26	2082	FALSE	SIN	Asia Pacific	Singapore	217 ms	6594 kB/s
47.242.232.14	2086	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	6587 kB/s
47.236.83.239	80	FALSE	SIN	Asia Pacific	Singapore	214 ms	6586 kB/s
8.210.245.224	2052	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	6565 kB/s
47.237.95.156	80	FALSE	SIN	Asia Pacific	Singapore	215 ms	6558 kB/s
8.218.188.129	2052	FALSE	HKG	Asia Pacific	Hong Kong	71 ms	6522 kB/s
47.245.86.230	2095	FALSE	SIN	Asia Pacific	Singapore	241 ms	6507 kB/s
47.237.83.20	2086	FALSE	SIN	Asia Pacific	Singapore	226 ms	6487 kB/s
47.236.169.164	2095	FALSE	SIN	Asia Pacific	Singapore	238 ms	6462 kB/s
47.243.60.150	2052	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	6458 kB/s
47.236.145.85	2095	FALSE	SIN	Asia Pacific	Singapore	216 ms	6446 kB/s
47.237.0.31	2082	FALSE	SIN	Asia Pacific	Singapore	218 ms	6389 kB/s
8.210.207.214	2082	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	6385 kB/s
47.237.94.140	2082	FALSE	SIN	Asia Pacific	Singapore	210 ms	6342 kB/s
47.236.145.85	8880	FALSE	SIN	Asia Pacific	Singapore	215 ms	6339 kB/s
47.236.10.100	2095	FALSE	SIN	Asia Pacific	Singapore	227 ms	6300 kB/s
47.236.170.54	8080	FALSE	SIN	Asia Pacific	Singapore	217 ms	6285 kB/s
8.210.34.188	80	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	6273 kB/s
8.217.91.121	2086	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	6245 kB/s
47.236.117.48	2086	FALSE	SIN	Asia Pacific	Singapore	224 ms	6212 kB/s
47.237.81.112	2052	FALSE	SIN	Asia Pacific	Singapore	214 ms	6207 kB/s
47.236.144.48	8880	FALSE	SIN	Asia Pacific	Singapore	221 ms	6206 kB/s
47.236.17.193	2082	FALSE	SIN	Asia Pacific	Singapore	221 ms	6184 kB/s
8.217.207.60	2095	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	6154 kB/s
47.237.10.1	8080	FALSE	SIN	Asia Pacific	Singapore	213 ms	6143 kB/s
47.236.169.164	2082	FALSE	SIN	Asia Pacific	Singapore	225 ms	6137 kB/s
8.210.48.107	2082	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	6126 kB/s
47.76.159.146	2086	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	6124 kB/s
47.236.168.17	2082	FALSE	SIN	Asia Pacific	Singapore	224 ms	6124 kB/s
8.210.245.224	8080	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	6117 kB/s
8.217.149.28	2052	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	6089 kB/s
47.236.202.91	2082	FALSE	SIN	Asia Pacific	Singapore	238 ms	6083 kB/s
47.236.170.54	2082	FALSE	SIN	Asia Pacific	Singapore	218 ms	6082 kB/s
47.236.150.13	8080	FALSE	SIN	Asia Pacific	Singapore	222 ms	6056 kB/s
47.236.202.91	8080	FALSE	SIN	Asia Pacific	Singapore	220 ms	6048 kB/s
47.237.92.26	80	FALSE	SIN	Asia Pacific	Singapore	225 ms	6017 kB/s
47.236.87.246	2052	FALSE	SIN	Asia Pacific	Singapore	226 ms	6006 kB/s
47.236.118.216	8080	FALSE	SIN	Asia Pacific	Singapore	234 ms	6003 kB/s
47.238.40.58	8080	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	5967 kB/s
8.217.232.246	80	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	5941 kB/s
47.236.150.13	2082	FALSE	SIN	Asia Pacific	Singapore	224 ms	5920 kB/s
47.242.232.14	2052	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	5911 kB/s
47.237.95.140	8880	FALSE	SIN	Asia Pacific	Singapore	211 ms	5910 kB/s
47.236.144.196	2052	FALSE	SIN	Asia Pacific	Singapore	211 ms	5905 kB/s
47.236.10.182	80	FALSE	SIN	Asia Pacific	Singapore	273 ms	5901 kB/s
47.236.171.205	2082	FALSE	SIN	Asia Pacific	Singapore	211 ms	5828 kB/s
47.236.97.90	80	FALSE	SIN	Asia Pacific	Singapore	221 ms	5821 kB/s
47.76.33.40	2082	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	5815 kB/s
8.210.3.24	8880	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	5792 kB/s
47.236.145.85	8080	FALSE	SIN	Asia Pacific	Singapore	224 ms	5785 kB/s
47.236.80.110	8080	FALSE	SIN	Asia Pacific	Singapore	218 ms	5761 kB/s
47.237.100.206	2095	FALSE	SIN	Asia Pacific	Singapore	211 ms	5744 kB/s
47.236.9.152	2052	FALSE	SIN	Asia Pacific	Singapore	220 ms	5742 kB/s
47.237.82.15	2082	FALSE	SIN	Asia Pacific	Singapore	222 ms	5740 kB/s
47.237.82.15	8880	FALSE	SIN	Asia Pacific	Singapore	216 ms	5727 kB/s
47.236.172.95	8080	FALSE	SIN	Asia Pacific	Singapore	205 ms	5722 kB/s
47.236.205.188	2052	FALSE	SIN	Asia Pacific	Singapore	216 ms	5710 kB/s
8.210.175.109	80	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	5701 kB/s
8.218.211.17	80	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	5696 kB/s
47.237.95.156	2082	FALSE	SIN	Asia Pacific	Singapore	222 ms	5684 kB/s
47.237.10.1	2095	FALSE	SIN	Asia Pacific	Singapore	222 ms	5684 kB/s
47.236.205.188	2082	FALSE	SIN	Asia Pacific	Singapore	220 ms	5680 kB/s
8.210.175.109	2082	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	5680 kB/s
8.218.22.210	8080	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	5673 kB/s
8.217.207.60	2086	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	5673 kB/s
47.237.100.206	8880	FALSE	SIN	Asia Pacific	Singapore	227 ms	5659 kB/s
47.237.86.185	2095	FALSE	SIN	Asia Pacific	Singapore	207 ms	5654 kB/s
8.210.34.188	2082	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	5635 kB/s
47.242.54.157	2095	FALSE	HKG	Asia Pacific	Hong Kong	69 ms	5621 kB/s
47.237.81.112	2082	FALSE	SIN	Asia Pacific	Singapore	211 ms	5620 kB/s
47.237.14.220	8880	FALSE	SIN	Asia Pacific	Singapore	227 ms	5608 kB/s
47.242.155.183	2082	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	5608 kB/s
47.236.17.193	2095	FALSE	SIN	Asia Pacific	Singapore	221 ms	5600 kB/s
47.236.5.223	80	FALSE	SIN	Asia Pacific	Singapore	240 ms	5597 kB/s
47.236.80.110	2052	FALSE	SIN	Asia Pacific	Singapore	207 ms	5584 kB/s
47.237.14.220	2082	FALSE	SIN	Asia Pacific	Singapore	218 ms	5566 kB/s
47.236.121.23	2052	FALSE	SIN	Asia Pacific	Singapore	222 ms	5544 kB/s
8.217.85.14	2095	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	5540 kB/s
47.236.172.95	2086	FALSE	SIN	Asia Pacific	Singapore	221 ms	5531 kB/s
47.237.95.146	8880	FALSE	SIN	Asia Pacific	Singapore	219 ms	5529 kB/s
47.236.172.71	2052	FALSE	SIN	Asia Pacific	Singapore	224 ms	5520 kB/s
8.210.3.24	2082	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	5518 kB/s
47.237.95.140	2086	FALSE	SIN	Asia Pacific	Singapore	246 ms	5512 kB/s
47.236.5.223	2086	FALSE	SIN	Asia Pacific	Singapore	216 ms	5506 kB/s
47.236.118.216	8880	FALSE	SIN	Asia Pacific	Singapore	240 ms	5475 kB/s
47.236.172.95	2082	FALSE	SIN	Asia Pacific	Singapore	221 ms	5465 kB/s
47.242.234.127	2086	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	5459 kB/s
47.236.117.48	2082	FALSE	SIN	Asia Pacific	Singapore	242 ms	5458 kB/s
47.237.11.182	8880	FALSE	SIN	Asia Pacific	Singapore	207 ms	5456 kB/s
47.236.180.51	2052	FALSE	SIN	Asia Pacific	Singapore	217 ms	5454 kB/s
8.218.2.181	2082	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	5451 kB/s
47.237.92.26	2052	FALSE	SIN	Asia Pacific	Singapore	221 ms	5448 kB/s
8.217.85.14	2082	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	5446 kB/s
47.236.165.25	8080	FALSE	SIN	Asia Pacific	Singapore	204 ms	5441 kB/s
47.236.165.25	2052	FALSE	SIN	Asia Pacific	Singapore	239 ms	5439 kB/s
47.236.10.182	2082	FALSE	SIN	Asia Pacific	Singapore	251 ms	5430 kB/s
8.210.3.24	2086	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	5424 kB/s
47.236.165.25	2086	FALSE	SIN	Asia Pacific	Singapore	216 ms	5415 kB/s
47.237.83.20	2052	FALSE	SIN	Asia Pacific	Singapore	232 ms	5407 kB/s
47.243.5.154	2082	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	5397 kB/s
47.236.80.110	80	FALSE	SIN	Asia Pacific	Singapore	228 ms	5393 kB/s
47.237.81.112	8080	FALSE	SIN	Asia Pacific	Singapore	214 ms	5387 kB/s
47.237.11.182	2086	FALSE	SIN	Asia Pacific	Singapore	214 ms	5378 kB/s
47.237.11.182	2082	FALSE	SIN	Asia Pacific	Singapore	208 ms	5376 kB/s
47.236.144.156	2052	FALSE	SIN	Asia Pacific	Singapore	213 ms	5372 kB/s
47.237.81.112	2086	FALSE	SIN	Asia Pacific	Singapore	231 ms	5371 kB/s
47.236.144.196	80	FALSE	SIN	Asia Pacific	Singapore	213 ms	5354 kB/s
47.236.87.246	80	FALSE	SIN	Asia Pacific	Singapore	208 ms	5354 kB/s
8.210.48.107	2086	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	5352 kB/s
8.218.65.237	2095	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	5349 kB/s
47.237.100.206	2082	FALSE	SIN	Asia Pacific	Singapore	213 ms	5348 kB/s
47.236.97.90	8880	FALSE	SIN	Asia Pacific	Singapore	244 ms	5335 kB/s
47.236.150.13	8880	FALSE	SIN	Asia Pacific	Singapore	224 ms	5332 kB/s
8.217.85.14	2052	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	5330 kB/s
47.236.169.15	2086	FALSE	SIN	Asia Pacific	Singapore	218 ms	5315 kB/s
47.237.83.20	2082	FALSE	SIN	Asia Pacific	Singapore	213 ms	5308 kB/s
47.236.144.156	2095	FALSE	SIN	Asia Pacific	Singapore	209 ms	5300 kB/s
47.236.87.246	2095	FALSE	SIN	Asia Pacific	Singapore	217 ms	5295 kB/s
47.236.169.15	2095	FALSE	SIN	Asia Pacific	Singapore	219 ms	5294 kB/s
47.236.123.133	8080	FALSE	SIN	Asia Pacific	Singapore	235 ms	5288 kB/s
47.237.10.1	2052	FALSE	SIN	Asia Pacific	Singapore	205 ms	5271 kB/s
47.237.95.146	2052	FALSE	SIN	Asia Pacific	Singapore	212 ms	5266 kB/s
